mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExceptionFilterTest.java,testJavaException,6,3,-3,50.0
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExceptionFilterTest.java,testRuntimeException,6,3,-3,50.0
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExceptionFilterTest.java,testConvertToRunTimeException,7,4,-3,42.9
java.lang.ClassLoader::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/ClassUtilsTest.java,testForNameWithThreadContextClassLoader,3,2,-1,33.3
java.lang.ClassLoader::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/ClassUtilsTest.java,testForName3,3,2,-1,33.3
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.cluster.router.mock.MockInvokersSelectorTest.DemoService>::1,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/router/mock/MockInvokersSelectorTest.java,test,24,12,-12,50.0
org.apache.dubbo.registry.Registry::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithoutProtocol,23,22,-1,4.3
org.apache.dubbo.registry.Registry::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithProtocol,23,22,-1,4.3
org.apache.dubbo.registry.Registry::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithoutGroup,24,23,-1,4.2
org.apache.dubbo.registry.Registry::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithGroup,22,21,-1,4.5
org.apache.dubbo.registry.Registry::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testRegisterConsumerUrl,20,19,-1,5.0
org.apache.dubbo.auth.model.AccessKeyPair::1,dubbo-plugin/dubbo-auth/src/test/java/org/apache/dubbo/auth/AccessKeyAuthenticatorTest.java,testSignForRequest,13,10,-3,23.1
org.apache.dubbo.auth.model.AccessKeyPair::1,dubbo-plugin/dubbo-auth/src/test/java/org/apache/dubbo/auth/AccessKeyAuthenticatorTest.java,testAuthenticateRequest,11,8,-3,27.3
org.apache.dubbo.common.extension.ExtensionLoader::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithoutGroup,24,15,-9,37.5
org.apache.dubbo.common.extension.ExtensionLoader::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithGroup,22,13,-9,40.9
org.apache.dubbo.registry.client.migration.MigrationRuleListener::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithoutProtocol,23,22,-1,4.3
org.apache.dubbo.registry.client.migration.MigrationRuleListener::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithProtocol,23,22,-1,4.3
org.apache.dubbo.registry.client.migration.MigrationRuleListener::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithoutGroup,24,23,-1,4.2
org.apache.dubbo.registry.client.migration.MigrationRuleListener::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithGroup,22,21,-1,4.5
org.apache.dubbo.registry.client.migration.MigrationRuleListener::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testInterceptInvokerForMigrationRuleListener,15,14,-1,6.7
org.apache.dubbo.rpc.Invoker<?>::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/stub/StubSuppliersTest.java,addSupplier,4,3,-1,25.0
org.apache.dubbo.rpc.Invoker<?>::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/stub/StubSuppliersTest.java,createStub,4,3,-1,25.0
org.apache.dubbo.registry.client.migration.model.MigrationRule::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,test,133,121,-12,9.0
org.apache.dubbo.registry.client.migration.model.MigrationRule::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,testDecide,63,61,-2,3.2
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testInvokerGeneric,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testResultHasException,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testInvokerJsonPojoSerialization,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testInvokerNonJsonEnumSerialization,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testInvokerNonJsonNonPojoSerialization,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/CompatibleFilterFilterTest.java,testInvokerNonJsonPojoSerialization,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ContextFilterTest.java,testSetContext,3,2,-1,33.3
org.apache.dubbo.rpc.Invocation::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExecuteLimitFilterTest.java,testNoExecuteLimitInvoke,10,7,-3,30.0
org.apache.dubbo.rpc.Invocation::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExecuteLimitFilterTest.java,testExecuteLimitInvoke,10,7,-3,30.0
org.apache.dubbo.rpc.Invocation::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExecuteLimitFilterTest.java,testExecuteLimitInvokeWithException,12,9,-3,25.0
org.apache.dubbo.rpc.Invocation::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExecuteLimitFilterTest.java,testMoreThanExecuteLimitInvoke,13,10,-3,23.1
