mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
IMqttToken::1,SUCCESS,0,True,False,LOW,diffs/IMqttToken__1.diff,45.17,27.18,47614,False
IMqttToken::2,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/IMqttToken__2.diff,68.44,43.6,25955,False
IMqttToken::3,SUCCESS,0,True,False,LOW,diffs/IMqttToken__3.diff,21.87,4.71,10637,False
org.springframework.integration.acks.AcknowledgmentCallback::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.acks.AcknowledgmentCallback__1.diff,43.31,15.64,18823,False
org.springframework.integration.file.remote.session.Session<F>::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.springframework.integration.file.remote.session.Session_F___1.diff,35.88,24.28,17775,False
org.springframework.integration.file.remote.session.Session<F>::2,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.Session_F___2.diff,28.99,11.06,14255,False
WebSocketHandlerRegistration::1,SUCCESS,0,True,False,LOW,diffs/WebSocketHandlerRegistration__1.diff,29.63,5.71,13772,False
AmqpTemplate::1,SUCCESS,0,True,False,LOW,diffs/AmqpTemplate__1.diff,22.03,6.48,10928,False
java.io.File::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/java.io.File__1.diff,48.29,24.57,21029,False
SourceExtractor<?>::1,SUCCESS,0,True,False,LOW,diffs/SourceExtractor_____1.diff,23.36,5.98,13495,False
org.springframework.integration.ip.tcp.connection.TcpConnectionSupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpConnectionSupport__1.diff,28.14,5.79,12503,False
SmbFile::1,SUCCESS,1,True,False,LOW,diffs/SmbFile__1.diff,80.09,39.91,39971,False
MqttAsyncClient::1,SUCCESS,1,True,False,LOW,diffs/MqttAsyncClient__1.diff,67.0,36.39,43352,False
org.springframework.integration.file.remote.session.Session<java.lang.String>::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.springframework.integration.file.remote.session.Session_java.lang.String___1.diff,33.18,23.14,18824,False
ConsumerFactory::1,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/ConsumerFactory__1.diff,49.98,20.0,23320,False
ConsumerFactory::2,MODEL_DECLINED,0,,,,,,,32387,False
EntityManager::1,SUCCESS,0,True,False,LOW,diffs/EntityManager__1.diff,62.93,27.38,21443,False
ConsumerGroupMetadata::1,SUCCESS,0,True,False,LOW,diffs/ConsumerGroupMetadata__1.diff,36.56,10.38,28006,False
WebServiceMessageSender::1,SUCCESS,0,True,False,LOW,diffs/WebServiceMessageSender__1.diff,22.36,7.08,14621,False
org.springframework.integration.file.remote.session.Session<org.springframework.integration.file.remote.gateway.RemoteFileOutboundGatewayTests.TestLsEntry>::1,FAILED_SYNTACTIC_VALIDITY,2,True,False,SKIPPED,diffs/org.springframework.integration.file.remote.session.Session_org.springframework.integration.file.rem-bc1ca7d8f9d4.diff,106.8,55.25,48929,False
org.springframework.integration.file.remote.session.Session<org.springframework.integration.file.remote.gateway.RemoteFileOutboundGatewayTests.TestLsEntry>::2,SUCCESS,1,True,False,LOW,diffs/org.springframework.integration.file.remote.session.Session_org.springframework.integration.file.rem-f34715addb67.diff,49.83,19.08,60727,False
Expression::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
Expression::2,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.springframework.integration.ip.tcp.connection.AbstractClientConnectionFactory::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.AbstractClientConnectionFactory__1.diff,89.38,59.68,59685,False
